EmployeeNumber,JobRole,JobLevel,Education,EducationField,Education Label
1,Sales Executive,2,2,Life Sciences,College
2,Research Scientist,2,1,Life Sciences,Below College
4,Laboratory Technician,1,2,Other,College
5,Research Scientist,1,4,Life Sciences,Master
7,Laboratory Technician,1,1,Medical,Below College
8,Laboratory Technician,1,2,Life Sciences,College
10,Laboratory Technician,1,3,Medical,Bachelor
11,Laboratory Technician,1,1,Life Sciences,Below College
12,Manufacturing Director,3,3,Life Sciences,Bachelor
13,Healthcare Representative,2,3,Medical,Bachelor
14,Laboratory Technician,1,3,Medical,Bachelor
15,Laboratory Technician,2,2,Life Sciences,College
16,Research Scientist,1,1,Life Sciences,Below College
18,Laboratory Technician,1,2,Medical,College
19,Laboratory Technician,1,3,Life Sciences,Bachelor
20,Manufacturing Director,3,4,Life Sciences,Master
21,Research Scientist,1,2,Life Sciences,College
22,Laboratory Technician,1,2,Medical,College
23,Manager,4,4,Life Sciences,Master
24,Research Scientist,1,3,Life Sciences,Bachelor
26,Manufacturing Director,2,2,Other,College
27,Sales Representative,1,4,Life Sciences,Master
28,Research Director,3,4,Life Sciences,Master
30,Research Scientist,1,2,Life Sciences,College
31,Research Scientist,1,1,Medical,Below College
32,Manager,5,3,Other,Bachelor
33,Research Scientist,1,1,Life Sciences,Below College
35,Sales Executive,2,4,Marketing,Master
36,Healthcare Representative,3,4,Medical,Master
38,Manager,5,4,Marketing,Master
39,Laboratory Technician,1,3,Medical,Bachelor
40,Healthcare Representative,2,4,Other,Master
41,Laboratory Technician,1,2,Medical,College
42,Sales Representative,2,3,Technical Degree,Bachelor
45,Research Scientist,1,3,Medical,Bachelor
46,Research Scientist,1,2,Medical,College
47,Sales Representative,1,2,Marketing,College
49,Sales Representative,1,3,Marketing,Bachelor
51,Research Scientist,1,4,Life Sciences,Master
52,Sales Executive,2,3,Life Sciences,Bachelor
53,Laboratory Technician,1,2,Other,College
54,Laboratory Technician,1,4,Life Sciences,Master
55,Laboratory Technician,1,3,Life Sciences,Bachelor
56,Sales Executive,3,3,Life Sciences,Bachelor
57,Laboratory Technician,2,2,Medical,College
58,Research Director,5,3,Technical Degree,Bachelor
60,Sales Executive,2,4,Marketing,Master
61,Research Scientist,1,2,Life Sciences,College
62,Sales Executive,2,4,Marketing,Master
63,Laboratory Technician,1,1,Life Sciences,Below College
64,Laboratory Technician,3,2,Life Sciences,College
65,Laboratory Technician,1,4,Technical Degree,Master
68,Sales Executive,2,5,Marketing,Doctor
70,Healthcare Representative,3,2,Medical,College
72,Sales Executive,2,3,Marketing,Bachelor
73,Research Director,3,2,Life Sciences,College
74,Sales Executive,3,5,Life Sciences,Doctor
75,Laboratory Technician,1,4,Medical,Master
76,Laboratory Technician,2,4,Life Sciences,Master
77,Manufacturing Director,2,4,Life Sciences,Master
78,Manufacturing Director,2,3,Medical,Bachelor
79,Laboratory Technician,2,5,Life Sciences,Doctor
80,Research Director,5,2,Medical,College
81,Sales Executive,3,3,Life Sciences,Bachelor
83,Healthcare Representative,3,3,Technical Degree,Bachelor
84,Manager,4,3,Medical,Bachelor
85,Manufacturing Director,2,3,Life Sciences,Bachelor
86,Research Scientist,3,3,Life Sciences,Bachelor
88,Research Scientist,1,3,Medical,Bachelor
90,Research Scientist,1,3,Medical,Bachelor
91,Sales Executive,2,1,Life Sciences,Below College
94,Research Scientist,1,3,Life Sciences,Bachelor
95,Research Scientist,1,4,Medical,Master
96,Research Scientist,2,3,Life Sciences,Bachelor
97,Laboratory Technician,1,3,Life Sciences,Bachelor
98,Manufacturing Director,2,4,Life Sciences,Master
100,Sales Executive,2,4,Marketing,Master
101,Research Director,3,4,Other,Master
102,Research Director,3,4,Medical,Master
103,Human Resources,2,2,Medical,College
104,Laboratory Technician,2,1,Life Sciences,Below College
105,Research Scientist,1,3,Medical,Bachelor
106,Sales Executive,3,2,Life Sciences,College
107,Research Scientist,2,3,Medical,Bachelor
110,Manufacturing Director,2,2,Medical,College
112,Manufacturing Director,3,3,Life Sciences,Bachelor
113,Sales Representative,1,1,Technical Degree,Below College
116,Laboratory Technician,1,4,Life Sciences,Master
117,Healthcare Representative,2,3,Life Sciences,Bachelor
118,Sales Executive,3,2,Medical,College
119,Healthcare Representative,4,4,Life Sciences,Master
120,Sales Executive,2,4,Marketing,Master
121,Sales Executive,2,2,Medical,College
124,Healthcare Representative,3,3,Medical,Bachelor
125,Sales Executive,2,4,Medical,Master
126,Research Director,3,4,Technical Degree,Master
128,Sales Executive,2,2,Other,College
129,Sales Executive,2,3,Medical,Bachelor
131,Sales Executive,4,4,Medical,Master
132,Laboratory Technician,2,3,Medical,Bachelor
133,Human Resources,1,4,Human Resources,Master
134,Research Scientist,1,1,Life Sciences,Below College
137,Laboratory Technician,1,3,Life Sciences,Bachelor
138,Research Scientist,2,4,Other,Master
139,Healthcare Representative,2,2,Life Sciences,College
140,Manager,5,4,Human Resources,Master
141,Research Director,5,3,Life Sciences,Bachelor
142,Sales Executive,2,3,Marketing,Bachelor
143,Research Scientist,1,1,Medical,Below College
144,Laboratory Technician,1,3,Medical,Bachelor
145,Healthcare Representative,3,4,Medical,Master
147,Laboratory Technician,2,3,Life Sciences,Bachelor
148,Manager,4,3,Human Resources,Bachelor
150,Laboratory Technician,1,1,Life Sciences,Below College
151,Research Scientist,2,4,Life Sciences,Master
152,Sales Executive,3,3,Life Sciences,Bachelor
153,Manager,3,3,Medical,Bachelor
154,Sales Executive,3,2,Technical Degree,College
155,Laboratory Technician,1,2,Life Sciences,College
158,Manager,4,2,Life Sciences,College
159,Research Scientist,1,3,Life Sciences,Bachelor
160,Sales Executive,2,2,Marketing,College
161,Research Scientist,1,4,Life Sciences,Master
162,Research Director,5,3,Life Sciences,Bachelor
163,Sales Executive,2,4,Life Sciences,Master
164,Research Scientist,1,3,Other,Bachelor
165,Healthcare Representative,3,4,Medical,Master
167,Sales Representative,1,1,Marketing,Below College
169,Laboratory Technician,1,1,Technical Degree,Below College
170,Manufacturing Director,2,4,Medical,Master
171,Research Scientist,1,3,Medical,Bachelor
174,Sales Executive,3,3,Marketing,Bachelor
175,Sales Executive,2,3,Life Sciences,Bachelor
176,Sales Executive,3,1,Life Sciences,Below College
177,Human Resources,1,1,Life Sciences,Below College
178,Manufacturing Director,2,2,Medical,College
179,Manufacturing Director,3,4,Life Sciences,Master
182,Sales Executive,2,4,Life Sciences,Master
183,Sales Executive,2,3,Life Sciences,Bachelor
184,Human Resources,2,3,Human Resources,Bachelor
190,Laboratory Technician,1,3,Medical,Bachelor
192,Research Scientist,1,3,Medical,Bachelor
193,Research Scientist,2,5,Technical Degree,Doctor
194,Research Scientist,1,3,Life Sciences,Bachelor
195,Sales Executive,2,2,Medical,College
197,Research Scientist,1,3,Technical Degree,Bachelor
198,Laboratory Technician,1,1,Medical,Below College
199,Manager,4,3,Life Sciences,Bachelor
200,Laboratory Technician,1,4,Life Sciences,Master
201,Laboratory Technician,1,1,Medical,Below College
202,Research Scientist,2,3,Medical,Bachelor
204,Sales Executive,3,5,Marketing,Doctor
205,Sales Representative,2,2,Marketing,College
206,Laboratory Technician,2,3,Life Sciences,Bachelor
207,Sales Executive,3,3,Marketing,Bachelor
208,Manufacturing Director,2,1,Technical Degree,Below College
211,Manufacturing Director,2,4,Medical,Master
214,Research Scientist,1,3,Medical,Bachelor
215,Sales Executive,3,4,Marketing,Master
216,Sales Representative,1,4,Marketing,Master
217,Research Scientist,1,1,Medical,Below College
218,Research Scientist,1,3,Medical,Bachelor
221,Research Scientist,1,3,Medical,Bachelor
223,Healthcare Representative,3,2,Life Sciences,College
224,Research Scientist,1,3,Medical,Bachelor
226,Manager,5,3,Life Sciences,Bachelor
227,Research Scientist,1,3,Life Sciences,Bachelor
228,Sales Executive,3,3,Life Sciences,Bachelor
230,Sales Executive,2,4,Life Sciences,Master
231,Research Scientist,1,5,Life Sciences,Doctor
233,Research Scientist,1,3,Technical Degree,Bachelor
235,Sales Representative,1,1,Technical Degree,Below College
238,Laboratory Technician,1,2,Medical,College
239,Laboratory Technician,2,3,Medical,Bachelor
240,Sales Executive,2,2,Life Sciences,College
241,Research Scientist,1,3,Life Sciences,Bachelor
242,Research Scientist,1,3,Life Sciences,Bachelor
243,Laboratory Technician,1,3,Life Sciences,Bachelor
244,Sales Executive,3,2,Marketing,College
245,Laboratory Technician,1,2,Life Sciences,College
246,Research Scientist,1,1,Medical,Below College
247,Research Scientist,1,2,Medical,College
248,Sales Representative,1,2,Marketing,College
249,Laboratory Technician,1,3,Medical,Bachelor
250,Manufacturing Director,2,2,Medical,College
252,Research Scientist,1,3,Medical,Bachelor
253,Manager,5,1,Medical,Below College
254,Research Director,5,4,Medical,Master
256,Manufacturing Director,2,1,Life Sciences,Below College
258,Healthcare Representative,4,3,Medical,Bachelor
259,Manager,5,4,Life Sciences,Master
260,Research Scientist,1,3,Medical,Bachelor
261,Manufacturing Director,2,2,Life Sciences,College
262,Research Scientist,1,3,Medical,Bachelor
264,Manager,4,2,Medical,College
267,Research Scientist,1,3,Life Sciences,Bachelor
269,Laboratory Technician,2,3,Medical,Bachelor
270,Manufacturing Director,2,2,Medical,College
271,Manufacturing Director,2,4,Life Sciences,Master
273,Manufacturing Director,2,3,Technical Degree,Bachelor
274,Manufacturing Director,2,1,Technical Degree,Below College
275,Manufacturing Director,2,4,Life Sciences,Master
277,Research Scientist,1,4,Medical,Master
281,Laboratory Technician,2,2,Medical,College
282,Healthcare Representative,2,1,Medical,Below College
283,Sales Executive,3,3,Marketing,Bachelor
284,Research Scientist,1,3,Life Sciences,Bachelor
286,Laboratory Technician,1,1,Medical,Below College
287,Healthcare Representative,2,5,Life Sciences,Doctor
288,Healthcare Representative,3,4,Medical,Master
291,Sales Executive,3,4,Medical,Master
292,Manufacturing Director,3,1,Life Sciences,Below College
293,Sales Executive,2,3,Life Sciences,Bachelor
296,Research Director,3,4,Life Sciences,Master
297,Research Scientist,1,3,Technical Degree,Bachelor
298,Manager,3,3,Life Sciences,Bachelor
299,Sales Executive,2,4,Marketing,Master
300,Research Scientist,1,3,Technical Degree,Bachelor
302,Sales Executive,3,3,Medical,Bachelor
303,Sales Executive,2,3,Marketing,Bachelor
304,Laboratory Technician,2,2,Life Sciences,College
305,Research Scientist,1,4,Medical,Master
306,Research Director,3,3,Other,Bachelor
307,Sales Executive,3,3,Life Sciences,Bachelor
308,Manufacturing Director,2,4,Medical,Master
309,Research Scientist,1,3,Life Sciences,Bachelor
311,Sales Representative,1,4,Marketing,Master
312,Sales Executive,3,1,Medical,Below College
314,Sales Executive,3,3,Marketing,Bachelor
315,Research Scientist,1,1,Medical,Below College
316,Laboratory Technician,1,3,Life Sciences,Bachelor
319,Manager,5,2,Technical Degree,College
321,Human Resources,1,2,Medical,College
323,Manager,5,4,Medical,Master
325,Laboratory Technician,1,3,Medical,Bachelor
327,Manager,4,3,Marketing,Bachelor
328,Laboratory Technician,1,2,Life Sciences,College
329,Manager,5,4,Life Sciences,Master
330,Sales Representative,1,2,Life Sciences,College
331,Laboratory Technician,1,3,Life Sciences,Bachelor
332,Laboratory Technician,1,4,Medical,Master
333,Sales Executive,2,4,Marketing,Master
334,Research Scientist,2,2,Life Sciences,College
335,Research Scientist,2,2,Technical Degree,College
336,Manager,5,3,Other,Bachelor
337,Research Director,3,4,Medical,Master
338,Research Scientist,1,4,Life Sciences,Master
339,Manufacturing Director,2,4,Life Sciences,Master
340,Research Scientist,1,2,Medical,College
341,Manufacturing Director,2,4,Life Sciences,Master
342,Manufacturing Director,3,3,Medical,Bachelor
343,Healthcare Representative,3,4,Technical Degree,Master
346,Research Scientist,1,3,Life Sciences,Bachelor
347,Research Scientist,2,2,Life Sciences,College
349,Sales Executive,2,2,Marketing,College
350,Manufacturing Director,2,3,Life Sciences,Bachelor
351,Laboratory Technician,1,3,Medical,Bachelor
352,Research Director,5,2,Medical,College
353,Research Scientist,1,3,Life Sciences,Bachelor
355,Laboratory Technician,1,2,Medical,College
359,Laboratory Technician,1,3,Life Sciences,Bachelor
361,Sales Executive,2,2,Life Sciences,College
362,Laboratory Technician,2,1,Technical Degree,Below College
363,Manager,4,3,Technical Degree,Bachelor
364,Laboratory Technician,1,4,Life Sciences,Master
366,Sales Executive,2,3,Medical,Bachelor
367,Healthcare Representative,2,3,Medical,Bachelor
369,Healthcare Representative,2,2,Life Sciences,College
372,Healthcare Representative,4,2,Medical,College
373,Laboratory Technician,1,3,Life Sciences,Bachelor
374,Manager,5,3,Medical,Bachelor
376,Manager,3,4,Life Sciences,Master
377,Research Scientist,1,3,Medical,Bachelor
378,Sales Executive,2,4,Medical,Master
379,Research Scientist,1,2,Medical,College
380,Research Director,3,4,Medical,Master
381,Manager,3,3,Life Sciences,Bachelor
382,Sales Executive,2,2,Medical,College
384,Manufacturing Director,2,3,Life Sciences,Bachelor
385,Research Director,5,1,Life Sciences,Below College
386,Research Director,4,4,Medical,Master
387,Sales Executive,2,1,Life Sciences,Below College
388,Sales Executive,2,2,Life Sciences,College
389,Laboratory Technician,2,2,Technical Degree,College
390,Healthcare Representative,2,2,Medical,College
391,Research Scientist,1,3,Life Sciences,Bachelor
392,Laboratory Technician,1,3,Life Sciences,Bachelor
393,Healthcare Representative,2,4,Life Sciences,Master
394,Laboratory Technician,1,4,Medical,Master
395,Research Scientist,1,2,Life Sciences,College
396,Research Director,5,4,Life Sciences,Master
397,Research Scientist,2,3,Technical Degree,Bachelor
399,Sales Representative,1,3,Marketing,Bachelor
401,Sales Executive,2,4,Marketing,Master
403,Research Scientist,1,3,Medical,Bachelor
404,Sales Executive,4,3,Marketing,Bachelor
405,Laboratory Technician,1,3,Life Sciences,Bachelor
406,Sales Executive,3,3,Marketing,Bachelor
407,Laboratory Technician,1,4,Life Sciences,Master
408,Manufacturing Director,2,3,Medical,Bachelor
410,Manager,4,4,Life Sciences,Master
411,Sales Representative,1,3,Medical,Bachelor
412,Healthcare Representative,2,2,Medical,College
416,Sales Executive,2,3,Technical Degree,Bachelor
417,Healthcare Representative,3,3,Medical,Bachelor
419,Laboratory Technician,2,4,Life Sciences,Master
420,Sales Executive,2,3,Life Sciences,Bachelor
421,Research Director,3,2,Life Sciences,College
422,Healthcare Representative,2,4,Life Sciences,Master
423,Research Scientist,1,4,Technical Degree,Master
424,Human Resources,2,3,Human Resources,Bachelor
425,Laboratory Technician,3,3,Life Sciences,Bachelor
426,Research Scientist,1,4,Life Sciences,Master
428,Manager,3,4,Life Sciences,Master
429,Manager,4,1,Medical,Below College
430,Laboratory Technician,1,4,Life Sciences,Master
431,Healthcare Representative,4,2,Technical Degree,College
433,Research Scientist,2,4,Medical,Master
434,Research Scientist,1,3,Life Sciences,Bachelor
436,Sales Executive,2,2,Technical Degree,College
437,Sales Executive,2,3,Life Sciences,Bachelor
438,Sales Executive,2,3,Marketing,Bachelor
439,Research Scientist,2,4,Medical,Master
440,Research Scientist,1,4,Medical,Master
441,Research Scientist,2,2,Medical,College
442,Manufacturing Director,3,2,Life Sciences,College
444,Manager,5,2,Medical,College
445,Sales Executive,2,2,Medical,College
446,Sales Executive,2,3,Marketing,Bachelor
447,Research Director,5,5,Life Sciences,Doctor
448,Laboratory Technician,2,4,Life Sciences,Master
449,Sales Executive,2,1,Marketing,Below College
450,Research Scientist,2,4,Life Sciences,Master
451,Healthcare Representative,3,3,Life Sciences,Bachelor
452,Research Scientist,2,4,Other,Master
453,Sales Executive,2,2,Medical,College
454,Laboratory Technician,1,4,Other,Master
455,Laboratory Technician,1,5,Other,Doctor
456,Sales Executive,2,3,Marketing,Bachelor
458,Sales Executive,2,4,Marketing,Master
460,Manufacturing Director,2,2,Medical,College
461,Research Director,3,2,Life Sciences,College
462,Manufacturing Director,3,4,Medical,Master
463,Sales Executive,2,1,Marketing,Below College
464,Manufacturing Director,3,4,Technical Degree,Master
465,Research Scientist,1,1,Life Sciences,Below College
466,Manufacturing Director,2,3,Medical,Bachelor
467,Sales Representative,2,1,Medical,Below College
468,Research Director,4,5,Life Sciences,Doctor
469,Sales Executive,2,3,Life Sciences,Bachelor
470,Human Resources,1,1,Technical Degree,Below College
471,Laboratory Technician,1,3,Medical,Bachelor
473,Manager,3,1,Medical,Below College
474,Research Scientist,2,3,Medical,Bachelor
475,Sales Executive,2,2,Technical Degree,College
476,Sales Executive,2,3,Life Sciences,Bachelor
477,Healthcare Representative,2,4,Other,Master
478,Sales Representative,1,1,Technical Degree,Below College
479,Sales Executive,2,5,Medical,Doctor
481,Sales Executive,3,4,Medical,Master
482,Healthcare Representative,2,4,Medical,Master
483,Laboratory Technician,1,4,Life Sciences,Master
484,Sales Representative,1,2,Medical,College
485,Sales Representative,1,3,Marketing,Bachelor
486,Laboratory Technician,1,3,Medical,Bachelor
487,Manufacturing Director,2,4,Medical,Master
488,Sales Executive,2,3,Marketing,Bachelor
491,Healthcare Representative,3,3,Technical Degree,Bachelor
492,Sales Executive,2,2,Marketing,College
493,Research Scientist,1,4,Life Sciences,Master
494,Sales Representative,1,3,Life Sciences,Bachelor
495,Research Scientist,1,3,Life Sciences,Bachelor
496,Healthcare Representative,2,4,Life Sciences,Master
497,Laboratory Technician,1,2,Medical,College
498,Sales Executive,2,4,Life Sciences,Master
499,Healthcare Representative,3,3,Other,Bachelor
500,Sales Executive,2,2,Life Sciences,College
501,Research Scientist,1,3,Life Sciences,Bachelor
502,Sales Executive,2,3,Marketing,Bachelor
505,Manager,4,3,Life Sciences,Bachelor
507,Sales Executive,2,4,Marketing,Master
508,Sales Representative,1,1,Technical Degree,Below College
510,Research Scientist,1,1,Technical Degree,Below College
511,Research Scientist,1,3,Medical,Bachelor
513,Sales Executive,3,2,Medical,College
514,Research Scientist,1,3,Technical Degree,Bachelor
515,Laboratory Technician,1,3,Life Sciences,Bachelor
516,Sales Executive,2,2,Marketing,College
517,Laboratory Technician,1,4,Life Sciences,Master
518,Manufacturing Director,2,4,Life Sciences,Master
520,Research Director,4,3,Life Sciences,Bachelor
521,Laboratory Technician,2,3,Medical,Bachelor
522,Research Director,5,2,Medical,College
523,Sales Executive,2,4,Marketing,Master
524,Manufacturing Director,2,2,Medical,College
525,Laboratory Technician,1,3,Medical,Bachelor
526,Healthcare Representative,2,4,Other,Master
527,Sales Executive,2,2,Life Sciences,College
529,Research Scientist,2,5,Medical,Doctor
530,Laboratory Technician,1,2,Life Sciences,College
531,Manager,5,1,Life Sciences,Below College
532,Sales Executive,4,3,Life Sciences,Bachelor
533,Sales Executive,2,3,Technical Degree,Bachelor
534,Sales Executive,3,3,Marketing,Bachelor
536,Laboratory Technician,2,2,Medical,College
538,Laboratory Technician,1,3,Medical,Bachelor
543,Manufacturing Director,3,3,Medical,Bachelor
544,Research Scientist,1,2,Life Sciences,College
546,Manager,4,2,Life Sciences,College
547,Research Scientist,2,2,Life Sciences,College
548,Manufacturing Director,2,3,Life Sciences,Bachelor
549,Manager,5,3,Life Sciences,Bachelor
550,Manufacturing Director,2,3,Medical,Bachelor
551,Healthcare Representative,2,4,Technical Degree,Master
554,Sales Representative,1,1,Technical Degree,Below College
555,Sales Representative,1,2,Marketing,College
556,Laboratory Technician,1,2,Life Sciences,College
558,Manager,5,4,Life Sciences,Master
560,Research Scientist,1,3,Life Sciences,Bachelor
562,Laboratory Technician,1,3,Life Sciences,Bachelor
564,Research Director,3,4,Medical,Master
565,Research Scientist,1,5,Technical Degree,Doctor
566,Human Resources,1,2,Technical Degree,College
567,Sales Executive,3,4,Other,Master
568,Manager,4,3,Marketing,Bachelor
569,Manager,4,4,Life Sciences,Master
571,Laboratory Technician,1,3,Medical,Bachelor
573,Sales Executive,3,3,Marketing,Bachelor
574,Manufacturing Director,2,2,Medical,College
575,Research Director,4,3,Life Sciences,Bachelor
577,Laboratory Technician,1,3,Life Sciences,Bachelor
578,Laboratory Technician,2,4,Life Sciences,Master
579,Research Scientist,1,4,Life Sciences,Master
580,Sales Executive,3,3,Marketing,Bachelor
581,Manufacturing Director,3,1,Life Sciences,Below College
582,Manager,3,1,Medical,Below College
584,Laboratory Technician,1,1,Medical,Below College
585,Sales Representative,1,1,Marketing,Below College
586,Healthcare Representative,3,3,Life Sciences,Bachelor
587,Healthcare Representative,3,3,Life Sciences,Bachelor
590,Human Resources,3,3,Human Resources,Bachelor
591,Laboratory Technician,1,2,Other,College
592,Sales Executive,3,4,Medical,Master
593,Laboratory Technician,1,1,Technical Degree,Below College
595,Sales Executive,2,5,Marketing,Doctor
597,Manager,4,5,Life Sciences,Doctor
599,Sales Executive,2,2,Life Sciences,College
600,Sales Executive,2,3,Marketing,Bachelor
601,Manufacturing Director,4,3,Life Sciences,Bachelor
602,Laboratory Technician,1,1,Life Sciences,Below College
604,Sales Executive,2,1,Life Sciences,Below College
605,Manufacturing Director,3,3,Medical,Bachelor
606,Sales Executive,2,3,Other,Bachelor
608,Human Resources,1,4,Life Sciences,Master
611,Manufacturing Director,2,3,Technical Degree,Bachelor
612,Research Director,4,5,Medical,Doctor
613,Manager,3,3,Life Sciences,Bachelor
614,Sales Representative,1,3,Marketing,Bachelor
615,Sales Executive,3,3,Other,Bachelor
616,Healthcare Representative,2,4,Other,Master
618,Sales Executive,2,2,Medical,College
620,Sales Executive,2,3,Medical,Bachelor
621,Sales Executive,2,4,Life Sciences,Master
622,Laboratory Technician,1,3,Technical Degree,Bachelor
623,Manufacturing Director,3,3,Technical Degree,Bachelor
624,Healthcare Representative,3,1,Medical,Below College
625,Manager,4,5,Life Sciences,Doctor
626,Sales Executive,3,4,Medical,Master
630,Research Scientist,2,2,Technical Degree,College
631,Sales Executive,2,4,Other,Master
632,Sales Representative,1,3,Medical,Bachelor
634,Healthcare Representative,2,3,Medical,Bachelor
635,Manufacturing Director,2,4,Life Sciences,Master
638,Research Director,5,4,Life Sciences,Master
639,Research Scientist,1,3,Medical,Bachelor
641,Sales Executive,2,2,Marketing,College
643,Laboratory Technician,1,2,Other,College
644,Manager,5,3,Medical,Bachelor
645,Sales Representative,1,1,Medical,Below College
647,Laboratory Technician,1,3,Life Sciences,Bachelor
648,Sales Representative,1,4,Life Sciences,Master
649,Research Scientist,1,2,Life Sciences,College
650,Sales Executive,2,4,Medical,Master
652,Laboratory Technician,2,2,Other,College
653,Sales Executive,2,4,Medical,Master
655,Research Scientist,1,4,Medical,Master
656,Sales Executive,2,3,Marketing,Bachelor
657,Research Scientist,1,3,Life Sciences,Bachelor
659,Healthcare Representative,2,4,Life Sciences,Master
661,Research Director,4,4,Other,Master
662,Research Scientist,1,1,Life Sciences,Below College
663,Laboratory Technician,2,5,Medical,Doctor
664,Manager,4,4,Life Sciences,Master
665,Human Resources,2,4,Life Sciences,Master
666,Sales Representative,1,3,Technical Degree,Bachelor
667,Sales Representative,1,1,Marketing,Below College
